"","a1_b1","a1_b2","a2_b1","a2_b2","n","sd","f_a","f_b","f_ab","pwr_a","pwr_b","pwr_ab"
"119",1.6,2,0,0,10,0.5,1.89736659610103,0.210818510677892,0.210818510677892,100,23.3814772917958,23.3814772917958
"120",1.8,2,0,0,10,0.5,2.00277585143997,0.105409255338946,0.105409255338946,100,9.44388512559688,9.44388512559688
"121",2,2,0,0,10,0.5,2.10818510677892,0,0,100,5,5
"122",0,0,0.2,0,10,0.5,0.105409255338946,0.105409255338946,0.105409255338946,9.44388512559688,9.44388512559688,9.44388512559688
"123",0.2,0,0.2,0,10,0.5,0,0.210818510677892,0,5,23.3814772917958,5
"124",0.4,0,0.2,0,10,0.5,0.105409255338946,0.316227766016838,0.105409255338946,9.44388512559688,45.4976890622469,9.44388512559688
"125",0.6,0,0.2,0,10,0.5,0.210818510677892,0.421637021355784,0.210818510677892,23.3814772917958,69.214061859491,23.3814772917958
"126",0.8,0,0.2,0,10,0.5,0.316227766016838,0.52704627669473,0.316227766016838,45.497689062247,86.7984282757759,45.4976890622469
"127",1,0,0.2,0,10,0.5,0.421637021355784,0.632455532033676,0.421637021355784,69.214061859491,95.8338575994181,69.214061859491
"128",1.2,0,0.2,0,10,0.5,0.52704627669473,0.737864787372622,0.52704627669473,86.7984282757759,99.0520776507534,86.7984282757759
"129",1.4,0,0.2,0,10,0.5,0.632455532033676,0.843274042711568,0.632455532033676,95.8338575994181,99.8465715863566,95.8338575994181
"130",1.6,0,0.2,0,10,0.5,0.737864787372622,0.948683298050513,0.737864787372622,99.0520776507534,99.9824909814139,99.0520776507534
"131",1.8,0,0.2,0,10,0.5,0.843274042711568,1.05409255338946,0.843274042711568,99.8465715863566,99.9985996996167,99.8465715863566
"132",2,0,0.2,0,10,0.5,0.948683298050514,1.15950180872841,0.948683298050514,99.9824909814139,99.9999218432618,99.9824909814139
"133",0,0.2,0.2,0,10,0.5,0,0,0.210818510677892,5,5,23.3814772917957
"134",0.2,0.2,0.2,0,10,0.5,0.105409255338946,0.105409255338946,0.105409255338946,9.44388512559688,9.44388512559688,9.44388512559688
"135",0.4,0.2,0.2,0,10,0.5,0.210818510677892,0.210818510677892,0,23.3814772917958,23.3814772917958,5
"136",0.6,0.2,0.2,0,10,0.5,0.316227766016838,0.316227766016838,0.105409255338946,45.4976890622469,45.4976890622469,9.44388512559688
"137",0.8,0.2,0.2,0,10,0.5,0.421637021355784,0.421637021355784,0.210818510677892,69.214061859491,69.214061859491,23.3814772917958
"138",1,0.2,0.2,0,10,0.5,0.52704627669473,0.52704627669473,0.316227766016838,86.7984282757759,86.7984282757758,45.4976890622469
"139",1.2,0.2,0.2,0,10,0.5,0.632455532033676,0.632455532033676,0.421637021355784,95.8338575994181,95.8338575994181,69.214061859491
"140",1.4,0.2,0.2,0,10,0.5,0.737864787372622,0.737864787372622,0.52704627669473,99.0520776507534,99.0520776507534,86.7984282757758
"141",1.6,0.2,0.2,0,10,0.5,0.843274042711568,0.843274042711568,0.632455532033676,99.8465715863566,99.8465715863566,95.8338575994181
"142",1.8,0.2,0.2,0,10,0.5,0.948683298050514,0.948683298050514,0.737864787372622,99.9824909814139,99.9824909814139,99.0520776507534
"143",2,0.2,0.2,0,10,0.5,1.05409255338946,1.05409255338946,0.843274042711568,99.9985996996167,99.9985996996167,99.8465715863566
"144",0,0.4,0.2,0,10,0.5,0.105409255338946,0.105409255338946,0.316227766016838,9.44388512559688,9.44388512559688,45.4976890622469
"145",0.2,0.4,0.2,0,10,0.5,0.210818510677892,0,0.210818510677892,23.3814772917957,5,23.3814772917958
"146",0.4,0.4,0.2,0,10,0.5,0.316227766016838,0.105409255338946,0.105409255338946,45.4976890622469,9.44388512559687,9.44388512559687
"147",0.6,0.4,0.2,0,10,0.5,0.421637021355784,0.210818510677892,0,69.214061859491,23.3814772917958,5
"148",0.8,0.4,0.2,0,10,0.5,0.52704627669473,0.316227766016838,0.105409255338946,86.7984282757759,45.4976890622469,9.44388512559687
"149",1,0.4,0.2,0,10,0.5,0.632455532033676,0.421637021355784,0.210818510677892,95.8338575994181,69.214061859491,23.3814772917958
"150",1.2,0.4,0.2,0,10,0.5,0.737864787372622,0.52704627669473,0.316227766016838,99.0520776507534,86.7984282757759,45.497689062247
"151",1.4,0.4,0.2,0,10,0.5,0.843274042711568,0.632455532033675,0.421637021355784,99.8465715863566,95.833857599418,69.214061859491
"152",1.6,0.4,0.2,0,10,0.5,0.948683298050514,0.737864787372622,0.52704627669473,99.9824909814139,99.0520776507534,86.7984282757759
"153",1.8,0.4,0.2,0,10,0.5,1.05409255338946,0.843274042711568,0.632455532033676,99.9985996996167,99.8465715863566,95.8338575994181
"154",2,0.4,0.2,0,10,0.5,1.15950180872841,0.948683298050514,0.737864787372622,99.9999218432618,99.9824909814139,99.0520776507534
"155",0,0.6,0.2,0,10,0.5,0.210818510677892,0.210818510677892,0.421637021355784,23.3814772917958,23.3814772917957,69.214061859491
"156",0.2,0.6,0.2,0,10,0.5,0.316227766016838,0.105409255338946,0.316227766016838,45.4976890622469,9.44388512559688,45.4976890622468
"157",0.4,0.6,0.2,0,10,0.5,0.421637021355784,0,0.210818510677892,69.214061859491,5,23.3814772917958
"158",0.6,0.6,0.2,0,10,0.5,0.52704627669473,0.105409255338946,0.105409255338946,86.7984282757759,9.44388512559687,9.44388512559687
"159",0.8,0.6,0.2,0,10,0.5,0.632455532033676,0.210818510677892,0,95.8338575994181,23.3814772917958,5
"160",1,0.6,0.2,0,10,0.5,0.737864787372622,0.316227766016838,0.105409255338946,99.0520776507534,45.4976890622469,9.44388512559687
"161",1.2,0.6,0.2,0,10,0.5,0.843274042711568,0.421637021355784,0.210818510677892,99.8465715863566,69.214061859491,23.3814772917958
"162",1.4,0.6,0.2,0,10,0.5,0.948683298050514,0.52704627669473,0.316227766016838,99.9824909814139,86.7984282757758,45.4976890622469
"163",1.6,0.6,0.2,0,10,0.5,1.05409255338946,0.632455532033676,0.421637021355784,99.9985996996167,95.8338575994181,69.214061859491
"164",1.8,0.6,0.2,0,10,0.5,1.15950180872841,0.737864787372622,0.52704627669473,99.9999218432618,99.0520776507534,86.7984282757759
"165",2,0.6,0.2,0,10,0.5,1.26491106406735,0.843274042711568,0.632455532033676,99.9999969649224,99.8465715863566,95.8338575994181
"166",0,0.8,0.2,0,10,0.5,0.316227766016838,0.316227766016838,0.52704627669473,45.4976890622468,45.4976890622469,86.7984282757759
"167",0.2,0.8,0.2,0,10,0.5,0.421637021355784,0.210818510677892,0.421637021355784,69.214061859491,23.3814772917958,69.214061859491
"168",0.4,0.8,0.2,0,10,0.5,0.52704627669473,0.105409255338946,0.316227766016838,86.7984282757759,9.44388512559687,45.4976890622469
"169",0.6,0.8,0.2,0,10,0.5,0.632455532033676,0,0.210818510677892,95.8338575994181,5,23.3814772917958
"170",0.8,0.8,0.2,0,10,0.5,0.737864787372622,0.105409255338946,0.105409255338946,99.0520776507534,9.44388512559688,9.44388512559688
"171",1,0.8,0.2,0,10,0.5,0.843274042711568,0.210818510677892,0,99.8465715863566,23.3814772917958,5
